,address,price,city,state,zipcode,beds,baths,size,type,lat,lng,geometry,name
614,12816 Midway Rd APT 2049,137000, Dallas,TX,75244,2 ,2 ,851,Condo,32.923184,-96.83808499999999,POINT (-96.83808499999999 32.923184),North Dallas
615,6938 Pemberton Dr,1274990, Dallas,TX,75230,5 ,5 ,4610,House,32.890925,-96.78551,POINT (-96.78551 32.890925),North Dallas
619,9919 Avalon Creek Ct,2488000, Dallas,TX,75230,5 ,5 ,6638,House,32.883445,-96.80837199999999,POINT (-96.80837199999999 32.883445),North Dallas
632,10767 Villager Rd #A,235000, Dallas,TX,75230,2 ,2 ,1160,Townhouse,32.894321999999995,-96.807487,POINT (-96.80748699999999 32.894322),North Dallas
635,6349 Diamond Head Cir APT C,280000, Dallas,TX,75225,2 ,2 ,1528,Condo,32.866335,-96.797337,POINT (-96.797337 32.866335),North Dallas
650,5505 Charlestown Dr,1495000, Dallas,TX,75230,5 ,5 ,4897,House,32.917888,-96.816164,POINT (-96.816164 32.917888),North Dallas
37,1200 Main St APT 2606,389000, Dallas,TX,75202,2 ,2 ,1379,Condo,32.780187,-96.801325,POINT (-96.80132500000001 32.780187),Downtown
85,1393 Arch Pl,569000, Dallas,TX,75215,3 ,5 ,2471,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
105,627 Aspen Valley Ln,550000, Dallas,TX,75208,3 ,3 ,2338,House,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
135,1001 Belleview St #1003,400000, Dallas,TX,75215,2 ,2 ,1120,Condo,32.768806,-96.794679,POINT (-96.794679 32.768806),Downtown
164,509 Elm St APT 406,349900, Dallas,TX,75202,2 ,2 ,1542,Townhouse,32.779699,-96.807463,POINT (-96.807463 32.779699),Downtown
242,1505 Elm St APT 703,399000, Dallas,TX,75201,3 ,3 ,2045,Condo,32.781379,-96.799552,POINT (-96.79955200000001 32.781379),Downtown
284,17746 Shumard Oak Dr,425000, Dallas,TX,75252,3 ,3 ,1921,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
297,1122 Jackson St APT 1108,495000, Dallas,TX,75202,2 ,2 ,1523,Condo,32.778663,-96.801355,POINT (-96.801355 32.778663),Downtown
321,3775 Panalero Ln,629900, Dallas,TX,75209,3 ,3 ,2217,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
325,9068 Corsair Pl,449900, Dallas,TX,75218,2 ,3 ,2040,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
326,1705 Lear St #35,495000, Dallas,TX,75215,3 ,4 ,1999,Townhouse,32.769037,-96.78572700000001,POINT (-96.78572700000001 32.769037),Downtown
342,1717 Arts Plz SUITE 2307,4500000, Dallas,TX,75201,3 ,4 ,4839,Condo,32.791688,-96.793929,POINT (-96.79392900000001 32.791688),Downtown
345,5933 Evening Star Pl,470000, Dallas,TX,75235,3 ,4 ,2067,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
380,1910 Woodland Heights Pl,680000, Dallas,TX,75252,4 ,5 ,2665,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
393,1200 Main St APT 1904,310000, Dallas,TX,75202,2 ,2 ,1169,Condo,32.780187,-96.801325,POINT (-96.80132500000001 32.780187),Downtown
419,624 Aspen Valley Ln,530000, Dallas,TX,75208,3 ,3 ,2257,House,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
420,4776 Asher Pl,410000, Dallas,TX,75204,2 ,3 ,1417,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
433,4503 Arberry Ln,599900, Dallas,TX,75219,3 ,4 ,2210,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
446,8002 Minglewood Ln,589000, Dallas,TX,75231,2 ,4 ,2416,House,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
476,5980 Evening Star Pl,475000, Dallas,TX,75235,3 ,4 ,2011,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
477,1111 S Akard St UNIT 408,249900, Dallas,TX,75215,2 ,1 ,984,Condo,32.772180999999996,-96.794488,POINT (-96.794488 32.772181),Downtown
499,1505 Elm St APT 1003,429900, Dallas,TX,75201,3 ,3 ,2045,Condo,32.781379,-96.799552,POINT (-96.79955200000001 32.781379),Downtown
524,1505 Elm St APT 505,275000, Dallas,TX,75201,2 ,2 ,1819,Condo,32.781379,-96.799552,POINT (-96.79955200000001 32.781379),Downtown
540,724 Rainwater Rd,550000, Dallas,TX,75218,3 ,3 ,2572,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
549,1705 Lear St #36,517500, Dallas,TX,75215,3 ,4 ,1994,Townhouse,32.769037,-96.78572700000001,POINT (-96.78572700000001 32.769037),Downtown
566,1200 Main St APT 2609,523000, Dallas,TX,75202,2 ,2 ,1379,Condo,32.780187,-96.801325,POINT (-96.80132500000001 32.780187),Downtown
596,8221 Milroy Ln,569000, Dallas,TX,75231,3 ,3 ,2224,House,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
605,1200 Main St APT 1009,370000, Dallas,TX,75202,2 ,2 ,1379,Condo,32.780187,-96.801325,POINT (-96.80132500000001 32.780187),Downtown
616,5981 Evening Star Pl,479900, Dallas,TX,75235,3 ,4 ,1858,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
620,3967 Bowie Ln,565000, Dallas,TX,75220,3 ,3 ,2200,Townhouse,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
639,8277 Laflin Ln,565000, Dallas,TX,75231,3 ,4 ,2376,House,32.777977,-96.796215,POINT (-96.796215 32.777977),Downtown
68,448 Josephine St,275000, Dallas,TX,75246,2 ,2 ,1274,Townhouse,32.791981,-96.773014,POINT (-96.773014 32.791981),Deep Ellum
510,4107 E Side Ave,160000, Dallas,TX,75226,2 ,2 ,1160,House,32.788121000000004,-96.769734,POINT (-96.769734 32.788121),Deep Ellum
73,4653 Country Creek Dr APT 1125,129900, Dallas,TX,75236,3 ,3 ,1368,Townhouse,32.698017,-96.898523,POINT (-96.898523 32.698017),Southwest Dallas
205,4645 Country Creek Dr APT 1098,130000, Dallas,TX,75236,2 ,2 ,1368,Condo,32.698085,-96.898349,POINT (-96.898349 32.698085),Southwest Dallas
232,7911 Sarahville Dr,799000, Dallas,TX,75252,4 ,5 ,3758,House,32.666366,-96.952211,POINT (-96.95221100000001 32.666366),Southwest Dallas
350,827 Kelso Dr,170000, Dallas,TX,75211,3 ,2 ,1364,House,32.737083,-96.922845,POINT (-96.922845 32.737083),Southwest Dallas
436,4655 Country Creek Dr APT 1137,105000, Dallas,TX,75236,2 ,2 ,1046,Condo,32.697967999999996,-96.898677,POINT (-96.89867700000001 32.697968),Southwest Dallas
576,5737 Ranchero Ln,799000, Dallas,TX,75236,4 ,6 ,5116,House,32.680105,-96.92007,POINT (-96.92007 32.680105),Southwest Dallas
91,5643 Richard Ave,750000, Dallas,TX,75206,5 ,2 ,2600,House,32.819212,-96.770501,POINT (-96.770501 32.819212),Lower Greenville
97,5335 Vickery Blvd,525000, Dallas,TX,75206,3 ,1 ,1655,House,32.822379999999995,-96.77843,POINT (-96.77843 32.82238),Lower Greenville
107,5536 Ellsworth Ave,729000, Dallas,TX,75206,3 ,2 ,2040,House,32.833622999999996,-96.772621,POINT (-96.772621 32.833623),Lower Greenville
128,6030 Mercedes Ave,840000, Dallas,TX,75206,4 ,3 ,2776,House,32.827907,-96.76231800000001,POINT (-96.76231800000001 32.827907),Lower Greenville
153,5440 Willis Ave,700000, Dallas,TX,75206,3 ,3 ,2528,House,32.820231,-96.77561999999999,POINT (-96.77561999999999 32.820231),Lower Greenville
230,3219 Homer St,599900, Dallas,TX,75206,2 ,2 ,1430,House,32.827158000000004,-96.78232,POINT (-96.78232 32.827158),Lower Greenville
254,5730 Mercedes Ave,625000, Dallas,TX,75206,3 ,2 ,1572,House,32.827940999999996,-96.768828,POINT (-96.768828 32.827941),Lower Greenville
265,5519 Ridgedale Ave,1175000, Dallas,TX,75206,4 ,3 ,3950,House,32.82547,-96.773939,POINT (-96.773939 32.82547),Lower Greenville
285,5515 Matalee Ave,649900, Dallas,TX,75206,3 ,3 ,2816,Multi-family,32.832658,-96.773733,POINT (-96.77373299999999 32.832658),Lower Greenville
331,5712 Morningside Ave,774900, Dallas,TX,75206,3 ,2 ,2598,House,32.828911,-96.76949,POINT (-96.76949 32.828911),Lower Greenville
471,5740 Martel Ave APT B14,215000, Dallas,TX,75206,2 ,2 ,929,Condo,32.831336,-96.768393,POINT (-96.768393 32.831336),Lower Greenville
503,5347 Ridgedale Ave,679000, Dallas,TX,75206,3 ,2 ,1933,House,32.825454,-96.77778,POINT (-96.77778000000001 32.825454),Lower Greenville
568,5332 Miller Ave,1290000, Dallas,TX,75206,4 ,5 ,4189,House,32.821274,-96.77844499999999,POINT (-96.77844499999999 32.821274),Lower Greenville
599,5235 Willis Ave,1000000, Dallas,TX,75206,5 ,5 ,4183,House,32.820215999999995,-96.78090999999999,POINT (-96.78090999999999 32.82021599999999),Lower Greenville
646,5336 Willis Ave,1149900, Dallas,TX,75206,5 ,4 ,3607,House,32.820219,-96.778287,POINT (-96.77828700000001 32.820219),Lower Greenville
109,408 N Prairie Ave,624900, Dallas,TX,75246,4 ,4 ,2745,House,32.796336,-96.767597,POINT (-96.76759699999999 32.796336),Old East Dallas
113,5215 E Side Ave,425000, Dallas,TX,75214,2 ,2 ,1417,House,32.797215,-96.758994,POINT (-96.758994 32.797215),Old East Dallas
117,1318 Rancho Mirage Dr,470000, Dallas,TX,75204,2 ,2 ,1902,Townhouse,32.795052,-96.783775,POINT (-96.78377500000001 32.795052),Old East Dallas
127,707 Monte Vista Dr,685000, Dallas,TX,75223,3 ,2 ,2726,House,32.805006,-96.741913,POINT (-96.741913 32.805006),Old East Dallas
142,4819 Swiss Ave APT A,325000, Dallas,TX,75204,2 ,3 ,1314,Condo,32.800599,-96.77154,POINT (-96.77154 32.800599),Old East Dallas
167,6405 E Grand Ave,475000, Dallas,TX,75223,3 ,2 ,2127,House,32.799499,-96.74108299999999,POINT (-96.74108299999999 32.799499),Old East Dallas
185,5105 Swiss Ave,2295000, Dallas,TX,75214,4 ,8 ,6262,House,32.803602000000005,-96.768171,POINT (-96.768171 32.80360200000001),Old East Dallas
384,3010 Zenia Dr,469000, Dallas,TX,75204,2 ,3 ,2016,Townhouse,32.795041999999995,-96.79207199999999,POINT (-96.79207199999999 32.795042),Old East Dallas
424,3102 Ross Ave STE 7,655000, Dallas,TX,75204,3 ,3 ,2422,Condo,32.793556,-96.791271,POINT (-96.79127099999999 32.793556),Old East Dallas
437,4610 Reiger Ave,520000, Dallas,TX,75246,3 ,3 ,2096,House,32.794007,-96.767526,POINT (-96.767526 32.794007),Old East Dallas
440,4527 Capitol Ave,410000, Dallas,TX,75204,3 ,2 ,1386,House,32.808591,-96.78537,POINT (-96.78537 32.808591),Old East Dallas
445,3105 San Jacinto St #120,224900, Dallas,TX,75204,2 ,2 ,926,Condo,32.793112,-96.789913,POINT (-96.789913 32.793112),Old East Dallas
529,3801 San Jacinto St APT D,415000, Dallas,TX,75204,3 ,2 ,2034,Condo,32.797245000000004,-96.785196,POINT (-96.785196 32.797245),Old East Dallas
572,501 Alcalde St,429000, Dallas,TX,75246,4 ,2 ,2538,House,32.79364,-96.771609,POINT (-96.771609 32.79364),Old East Dallas
617,1909 California Dr,350000, Dallas,TX,75204,3 ,2 ,1201,House,32.804928000000004,-96.781118,POINT (-96.78111800000001 32.804928),Old East Dallas
652,4620 Munger Ave #103,409900, Dallas,TX,75204,2 ,3 ,1590,Condo,32.805271999999995,-96.78022299999999,POINT (-96.78022299999999 32.805272),Old East Dallas
111,3717 Prescott Ave,599900, Dallas,TX,75219,2 ,3 ,1968,House,32.820982,-96.811378,POINT (-96.811378 32.820982),Oak Lawn
126,3126 Carlson Dr,379900, Dallas,TX,75235,3 ,2 ,1592,House,32.82525,-96.82867900000001,POINT (-96.82867900000001 32.82525),Oak Lawn
130,5016 Cedar Springs Rd,299900, Dallas,TX,75235,2 ,3 ,1463,Condo,32.82095,-96.823026,POINT (-96.823026 32.82095),Oak Lawn
162,4777 Cedar Springs Rd APT 3K,199000, Dallas,TX,75219,2 ,2 ,942,Condo,32.818917,-96.82078,POINT (-96.82078 32.818917),Oak Lawn
184,3225 Turtle Creek Blvd APT 306,264999, Dallas,TX,75219,2 ,2 ,1152,Townhouse,32.806792,-96.80368100000001,POINT (-96.80368100000001 32.806792),Oak Lawn
244,5031 Cedar Springs Rd APT 101,199900, Dallas,TX,75235,2 ,2 ,1296,Condo,32.820808,-96.82266,POINT (-96.82266 32.820808),Oak Lawn
252,2325 Hondo Ave,619000, Dallas,TX,75219,3 ,4 ,2578,Multi-family,32.807787,-96.824005,POINT (-96.824005 32.807787),Oak Lawn
257,5331 Livingston Ave,1829500, Dallas,TX,75209,4 ,6 ,3913,House,32.834808,-96.820584,POINT (-96.820584 32.834808),Oak Lawn
272,3333 Prescott Ave,325000, Dallas,TX,75219,2 ,2 ,1195,Condo,32.817945,-96.815057,POINT (-96.815057 32.817945),Oak Lawn
290,4211 Rawlins St UNIT 420,469500, Dallas,TX,75219,2 ,3 ,2021,Condo,32.815152000000005,-96.811543,POINT (-96.811543 32.815152),Oak Lawn
292,5045 Cedar Springs Rd APT 216,189999, Dallas,TX,75235,2 ,2 ,1030,Condo,32.820867,-96.822804,POINT (-96.822804 32.820867),Oak Lawn
298,2706 Throckmorton St UNIT C,499000, Dallas,TX,75219,2 ,3 ,1919,Condo,32.808452,-96.814418,POINT (-96.814418 32.808452),Oak Lawn
357,3310 Fairmount St APT 7A,399000, Dallas,TX,75201,2 ,2 ,1843,Condo,32.800934999999996,-96.80904699999999,POINT (-96.80904699999999 32.800935),Oak Lawn
386,3225 Turtle Creek Blvd APT 302,319000, Dallas,TX,75219,2 ,2 ,1150,Townhouse,32.806792,-96.80368100000001,POINT (-96.80368100000001 32.806792),Oak Lawn
399,4140 N Hall St,436000, Dallas,TX,75219,2 ,4 ,2064,Townhouse,32.813655,-96.81190699999999,POINT (-96.81190699999999 32.813655),Oak Lawn
428,4051 Throckmorton St,690000, Dallas,TX,75219,3 ,4 ,2637,Townhouse,32.818341,-96.804525,POINT (-96.804525 32.818341),Oak Lawn
431,2700 Knight St,1225000, Dallas,TX,75219,3 ,4 ,2951,House,32.809148,-96.815515,POINT (-96.815515 32.809148),Oak Lawn
434,3310 Fairmount St #7D,400000, Dallas,TX,75201,2 ,2 ,2039,Condo,32.800934999999996,-96.80904699999999,POINT (-96.80904699999999 32.800935),Oak Lawn
451,4616 Lester Dr,379000, Dallas,TX,75219,2 ,2 ,1978,Townhouse,32.813897999999995,-96.824368,POINT (-96.82436800000001 32.81389799999999),Oak Lawn
474,2334 Lucas Dr,349000, Dallas,TX,75219,3 ,2 ,1112,House,32.809566,-96.824812,POINT (-96.82481199999999 32.809566),Oak Lawn
482,4728 Bradford Dr APT A,197000, Dallas,TX,75219,2 ,1 ,936,Condo,32.816396999999995,-96.822512,POINT (-96.822512 32.81639699999999),Oak Lawn
497,4505 Rawlins St,424990, Dallas,TX,75219,3 ,4 ,2036,Townhouse,32.818211,-96.8148,POINT (-96.81480000000001 32.818211),Oak Lawn
513,5006 Cedar Springs Rd APT A,373999, Dallas,TX,75235,2 ,2 ,1751,Townhouse,32.820894,-96.822877,POINT (-96.82287700000001 32.820894),Oak Lawn
525,3225 Turtle Creek Blvd APT 1006,299000, Dallas,TX,75219,2 ,2 ,1152,Condo,32.806792,-96.80368100000001,POINT (-96.80368100000001 32.806792),Oak Lawn
534,3624 Douglas Ave,525000, Dallas,TX,75219,3 ,3 ,1758,Multi-family,32.817084,-96.80837,POINT (-96.80837 32.817084),Oak Lawn
564,4327 Holland Ave APT 107,132000, Dallas,TX,75219,2 ,1 ,784,Condo,32.818632,-96.809749,POINT (-96.809749 32.818632),Oak Lawn
565,4777 Cedar Springs Rd APT 5A,210000, Dallas,TX,75219,2 ,2 ,1015,Condo,32.818917,-96.82078,POINT (-96.82078 32.818917),Oak Lawn
571,2324 Kings Rd,225000, Dallas,TX,75219,4 ,2 ,1080,House,32.8116,-96.827373,POINT (-96.82737299999999 32.8116),Oak Lawn
589,4115 Bowser Ave APT 5,184900, Dallas,TX,75219,2 ,1 ,820,Condo,32.816064000000004,-96.808591,POINT (-96.80859100000001 32.816064),Oak Lawn
607,4027 Prescott Ave,695000, Dallas,TX,75219,4 ,2 ,3155,Multi-family,32.821702,-96.808097,POINT (-96.808097 32.821702),Oak Lawn
611,2727 Reagan St APT C,259000, Dallas,TX,75219,2 ,2 ,983,Condo,32.808261,-96.812936,POINT (-96.81293599999999 32.808261),Oak Lawn
618,2525 Turtle Creek Blvd APT 521,212500, Dallas,TX,75219,2 ,2 ,1324,Condo,32.802074,-96.808655,POINT (-96.808655 32.802074),Oak Lawn
621,4212 Bowser Ave APT C,529000, Dallas,TX,75219,3 ,4 ,2438,Condo,32.816905,-96.809567,POINT (-96.809567 32.816905),Oak Lawn
625,3615 Brown St APT B,210000, Dallas,TX,75219,2 ,1 ,827,Condo,32.804639,-96.810518,POINT (-96.810518 32.804639),Oak Lawn
629,5106 Denton Dr,380000, Dallas,TX,75235,2 ,2 ,1536,House,32.818227,-96.827607,POINT (-96.827607 32.818227),Oak Lawn
631,3225 Turtle Creek Blvd APT 820,317500, Dallas,TX,75219,2 ,2 ,1154,Condo,32.806792,-96.80368100000001,POINT (-96.80368100000001 32.806792),Oak Lawn
644,3400 Welborn St APT 311,299000, Dallas,TX,75219,2 ,2 ,1171,Condo,32.811181,-96.80430600000001,POINT (-96.80430600000001 32.811181),Oak Lawn
125,4116 Cole Ave APT 309,318000, Dallas,TX,75204,2 ,2 ,1080,Condo,32.814840000000004,-96.793304,POINT (-96.79330400000001 32.81484),Uptown
132,3030 Mckinney Ave APT 1603,385000, Dallas,TX,75204,2 ,2 ,1353,Condo,32.802025,-96.80086800000001,POINT (-96.80086800000001 32.802025),Uptown
145,3235 Cole Ave APT 100,367500, Dallas,TX,75204,2 ,3 ,1220,Condo,32.804726,-96.800538,POINT (-96.800538 32.804726),Uptown
187,4206 Buena Vista St APT C,850000, Dallas,TX,75205,3 ,3 ,2550,Townhouse,32.817869,-96.794604,POINT (-96.79460400000001 32.817869),Uptown
394,4022 Travis St UNIT C,569000, Dallas,TX,75204,2 ,3 ,2348,Townhouse,32.813884,-96.79539,POINT (-96.79539 32.813884),Uptown
447,4044 Buena Vista St APT 110,255000, Dallas,TX,75204,2 ,2 ,950,Condo,32.81483,-96.796165,POINT (-96.796165 32.81483),Uptown
461,4225 Mckinney Ave APT 1,465000, Dallas,TX,75205,2 ,3 ,2148,Townhouse,32.817127,-96.79047299999999,POINT (-96.79047299999999 32.817127),Uptown
470,4111 Cole Ave APT 20,269000, Dallas,TX,75204,2 ,2 ,915,Condo,32.815061,-96.793185,POINT (-96.79318499999999 32.815061),Uptown
478,2979 Magnolia Hill Ct,1150000, Dallas,TX,75201,2 ,3 ,2382,Townhouse,32.793469,-96.81072900000001,POINT (-96.81072900000001 32.793469),Uptown
480,2111 Clark St APT E,520000, Dallas,TX,75204,2 ,3 ,2100,Townhouse,32.796014,-96.794567,POINT (-96.794567 32.796014),Uptown
532,4061 Buena Vista St,624000, Dallas,TX,75204,3 ,3 ,2085,Townhouse,32.815156,-96.795979,POINT (-96.795979 32.815156),Uptown
570,4303 Buena Vista St APT 301,319500, Dallas,TX,75205,2 ,3 ,1220,Condo,32.819428,-96.793764,POINT (-96.793764 32.819428),Uptown
586,3237 Hugo Pl,639000, Dallas,TX,75204,2 ,3 ,2103,Townhouse,32.800345,-96.796227,POINT (-96.796227 32.800345),Uptown
595,3100 Cole Ave APT 215,299900, Dallas,TX,75204,2 ,2 ,1031,Condo,32.803114,-96.801592,POINT (-96.801592 32.803114),Uptown
633,3110 Thomas Ave APT 921,625000, Dallas,TX,75204,2 ,2 ,2453,Condo,32.798525,-96.794839,POINT (-96.794839 32.798525),Uptown
643,3130 N Harwood St APT 602,2895000, Dallas,TX,75201,3 ,4 ,2817,Condo,32.796903,-96.811584,POINT (-96.811584 32.796903),Uptown
645,2900 Mckinnon St APT 904,655000, Dallas,TX,75201,2 ,3 ,1430,Condo,32.795858,-96.80905600000001,POINT (-96.80905600000001 32.795858),Uptown
129,5515 Bryan Pkwy #104,395000, Dallas,TX,75206,2 ,3 ,1475,Condo,32.807959999999994,-96.76949,POINT (-96.76949 32.80795999999999),Lowest Greenville
147,1910 Hope St UNIT 14,475000, Dallas,TX,75206,3 ,4 ,1758,Condo,32.813091,-96.769356,POINT (-96.769356 32.813091),Lowest Greenville
194,5911 Hudson St,599000, Dallas,TX,75206,3 ,3 ,2635,Multi-family,32.810032,-96.766458,POINT (-96.766458 32.810032),Lowest Greenville
457,5604 Lindell Ave #C,399900, Dallas,TX,75206,2 ,3 ,1478,Condo,32.808894,-96.769178,POINT (-96.769178 32.808894),Lowest Greenville
469,6119 Hudson St,588000, Dallas,TX,75206,5 ,3 ,2675,House,32.810646000000006,-96.764039,POINT (-96.764039 32.81064600000001),Lowest Greenville
240,1808 Euclid Ave,975000, Dallas,TX,75206,4 ,3 ,2702,House,32.811479999999996,-96.773533,POINT (-96.773533 32.81148),Henderson Avenue
333,1725 Bennett Ave UNIT 101,354900, Dallas,TX,75206,2 ,3 ,1556,Condo,32.807838000000004,-96.77614799999999,POINT (-96.77614799999999 32.807838),Henderson Avenue
443,5000 Mission Ave,679900, Dallas,TX,75206,3 ,3 ,2656,Multi-family,32.814857,-96.78407800000001,POINT (-96.78407800000001 32.814857),Henderson Avenue
454,1844 Euclid Ave #3,615000, Dallas,TX,75206,3 ,4 ,2184,Townhouse,32.812778,-96.773534,POINT (-96.773534 32.812778),Henderson Avenue
324,5032 Matilda St APT 218,185000, Dallas,TX,75206,2 ,2 ,1055,Condo,32.847854,-96.767684,POINT (-96.767684 32.847854),Upper Greenville
371,6017 Sandhurst Ln #D,249000, Dallas,TX,75206,2 ,2 ,1361,Townhouse,32.844331,-96.76258100000001,POINT (-96.76258100000001 32.844331),Upper Greenville
385,4949 Skillman St APT 254,178900, Dallas,TX,75206,2 ,2 ,1136,Condo,32.84684,-96.761427,POINT (-96.761427 32.84684),Upper Greenville
387,4800 Northway Dr APT 15A,220000, Dallas,TX,75206,2 ,2 ,991,Condo,32.846696,-96.768813,POINT (-96.76881299999999 32.846696),Upper Greenville
426,5609 Smu Blvd APT 301,349000, Dallas,TX,75206,2 ,2 ,1217,Condo,32.842009000000004,-96.772217,POINT (-96.772217 32.842009),Upper Greenville
439,5111 Skillman St #229,204900, Dallas,TX,75206,2 ,2 ,1057,Townhouse,32.848678,-96.761245,POINT (-96.761245 32.848678),Upper Greenville
504,5609 Smu Blvd APT 509,318000, Dallas,TX,75206,2 ,2 ,1025,Condo,32.842009000000004,-96.772217,POINT (-96.772217 32.842009),Upper Greenville
